MH_Time;MH_DOY;MH_0.1_m;MH_0.3_m;MH_0.5_m;MH_1.0_m;MH_3.0_m;MH_5.0_m;MH_7_m;IH_Time;IH_DOY;IH_0.1_m;IH_0.3_m;IH_0.5_m;IH_1.0_m;IH_3.0_m;IH_5.0_m
2009-06-14_18:00;165.750;10.627;10.631;10.617;10.624;9.465;6.473;6.151;2009-06-14_18:00;165.750;12.018;11.999;12.037;12.025;12.068;10.059
2009-06-14_19:00;165.792;10.529;10.558;10.543;10.551;9.884;6.447;6.177;2009-06-14_19:00;165.792;11.946;11.951;11.988;12.001;11.995;10.083
2009-06-14_20:00;165.833;10.456;10.460;10.445;10.453;9.243;6.473;6.151;2009-06-14_20:00;165.833;11.922;11.902;11.940;11.929;11.898;10.108
2009-06-14_21:00;165.875;10.382;10.386;10.372;10.380;9.662;6.422;6.177;2009-06-14_21:00;165.875;11.849;11.854;11.867;11.880;11.850;10.132
2009-06-14_22:00;165.917;10.260;10.264;10.249;10.257;9.588;6.447;6.126;2009-06-14_22:00;165.917;11.800;11.805;11.819;11.807;11.801;10.132
2009-06-14_23:00;165.958;10.186;10.190;10.176;10.184;9.662;6.397;6.177;2009-06-14_23:00;165.958;11.630;11.635;11.649;11.637;11.631;10.157
2009-06-15_00:00;166.000;10.088;10.092;10.077;10.061;9.366;6.473;6.126;2009-06-15_00:00;166.000;11.533;11.538;11.576;11.565;11.583;10.157
2009-06-15_01:00;166.042;9.990;9.994;9.979;9.987;9.465;6.397;6.151;2009-06-15_01:00;166.042;11.509;11.514;11.527;11.540;11.510;10.157
2009-06-15_02:00;166.083;9.892;9.896;9.881;9.865;9.168;6.498;6.151;2009-06-15_02:00;166.083;11.436;11.441;11.479;11.467;11.437;10.157
2009-06-15_03:00;166.125;9.744;9.773;9.758;9.791;9.144;6.422;6.151;2009-06-15_03:00;166.125;11.387;11.392;11.406;11.394;11.388;10.157
2009-06-15_04:00;166.167;9.646;9.674;9.634;9.643;9.193;6.473;6.177;2009-06-15_04:00;166.167;11.168;11.197;11.235;11.224;11.242;10.132
